section,name,value
1. The survey: which ops disagree,matmul,max |eager - compiled| = 0.000e+00   relative 0.00e+00
1. The survey: which ops disagree,add/mul,max |eager - compiled| = 0.000e+00   relative 0.00e+00
1. The survey: which ops disagree,gelu,max |eager - compiled| = 4.768e-07   relative 1.02e-07
1. The survey: which ops disagree,sum(-1),max |eager - compiled| = 2.098e-05   relative 2.61e-07
1. The survey: which ops disagree,mean(-1),max |eager - compiled| = 2.049e-08   relative 2.61e-07
1. The survey: which ops disagree,var(-1),max |eager - compiled| = 2.384e-07   relative 2.05e-07
1. The survey: which ops disagree,softmax,max |eager - compiled| = 1.863e-09   relative 3.17e-08
1. The survey: which ops disagree,logsumexp,max |eager - compiled| = 9.537e-07   relative 1.26e-07
1. The survey: which ops disagree,layer_norm,max |eager - compiled| = 9.537e-07   relative 2.10e-07
1. The survey: which ops disagree,fused chain,max |eager - compiled| = 6.104e-05   relative 2.37e-07
1. The survey: which ops disagree,bit-identical ops,"2 of 10: matmul, add/mul"
1. The survey: which ops disagree,largest relative disagreement,2.61e-07
1. The survey: which ops disagree,float32 machine epsilon (2^-23),1.19209e-07
1. The survey: which ops disagree,so the disagreements are,"about one unit in the last place - a rounding difference, not a logic difference"
2. Is that a lot? Ask a more accurate calculator,sum(-1),eager err 9.554e-06 | compiled err 2.169e-05 | closer: eager
2. Is that a lot? Ask a more accurate calculator,mean(-1),eager err 9.331e-09 | compiled err 2.118e-08 | closer: eager
2. Is that a lot? Ask a more accurate calculator,logsumexp,eager err 4.938e-07 | compiled err 5.294e-07 | closer: eager
2. Is that a lot? Ask a more accurate calculator,layer_norm,eager err 5.284e-07 | compiled err 7.409e-07 | closer: eager
2. Is that a lot? Ask a more accurate calculator,fused chain,eager err 2.766e-05 | compiled err 4.798e-05 | closer: eager
2. Is that a lot? Ask a more accurate calculator,cases where the COMPILED answer is closer to the truth,0 of 5
2. Is that a lot? Ask a more accurate calculator,the test that settles 'is this a bug?',compute the same thing in float64 and see which one is wrong
3. The control: eager vs eager,"max |difference|, row sum, batch 256 vs 512",0.000e+00
3. The control: eager vs eager,"max |difference|, full sum, 1 thread vs 4",6.104e-05
3. The control: eager vs eager,"max |difference|, contiguous vs strided view",1.144e-05
