section,name,value,note
arith,parameters,"7,356,928",
arith,params (fp32),28.1 MB,
arith,grads (fp32),28.1 MB,
arith,adam (fp32),56.1 MB,
arith,total per rank if nothing is sharded,112.3 MB,16 bytes per parameter: 4 weight + 4 grad + 8 Adam moments
shard,parameter class after fully_shard,DTensor,
shard,p.shape (what your code sees),"(2048, 256)",
shard,p.to_local().shape (what this rank stores),"(1024, 256)",
shard,"local parameter count, 2 ranks","3,678,464",
mem,"DDP, 2 ranks: params+grads+Adam on rank 0","  112.3 MB   (p 28.1 MB, g 28.1 MB, o 56.1 MB)",
mem,"FSDP, 2 ranks: params+grads+Adam on rank 0","   56.1 MB   (p 14.0 MB, g 14.0 MB, o 28.1 MB)",
mem,"DDP, 4 ranks: params+grads+Adam on rank 0","  112.3 MB   (p 28.1 MB, g 28.1 MB, o 56.1 MB)",
mem,"FSDP, 4 ranks: params+grads+Adam on rank 0","   28.1 MB   (p 7.0 MB, g 7.0 MB, o 14.0 MB)",
mem,"DDP, 4 ranks: process RSS growth (VmHWM - start)",300 MB,
mem,"FSDP, 4 ranks: process RSS growth (VmHWM - start)",231 MB,
mem,FSDP saving at 4 ranks,4.00x smaller,
zero,world=1: stage 1 / stage 2 / stage 3 (=FSDP),112.3 MB / 112.3 MB / 112.3 MB,
zero,world=2: stage 1 / stage 2 / stage 3 (=FSDP),84.2 MB / 70.2 MB / 56.1 MB,
zero,world=4: stage 1 / stage 2 / stage 3 (=FSDP),70.2 MB / 49.1 MB / 28.1 MB,
zero,world=8: stage 1 / stage 2 / stage 3 (=FSDP),63.1 MB / 38.6 MB / 14.0 MB,
budget,model,"19,296,000 parameters",
budget,"DDP, 4 ranks",FAILS,
budget,  -> ,OutOfMemoryError (simulated): tried to keep 309 MB of model state on a device with a 100 MB budget,
budget,"FSDP, 4 ranks",FITS,
budget,  -> ,73.6 MB of model state per rank,
equal,"max |loss(FSDP,2) - loss(DDP,2)| over 6 steps",0.000e+00,
equal,"loss curve, DDP  ",7.711 7.785 7.774 7.735 8.012 7.831,
equal,"loss curve, FSDP ",7.711 7.785 7.774 7.735 8.012 7.831,
equal,"max |loss(FSDP,4) - loss(DDP,2)|",9.537e-07,"4 ranks means 4x the global batch, so this one SHOULD differ"
cost,DDP bytes moved per rank per step (ring all-reduce),42.1 MB,
cost,FSDP bytes moved per rank per step (gather x2 + scatter),84.2 MB  (2.0x DDP),
cost,"4 ranks, 6 steps: DDP",2101 ms,
cost,"4 ranks, 6 steps: FSDP (reshard after forward)",5094 ms   (2.42x DDP),
cost,"4 ranks, 6 steps: FSDP (keep params after forward)",3421 ms   (1.63x DDP),
cost,root-only wrapping: RSS peak / model-state bytes,926 MB / 28.1 MB,
cost,per-block wrapping: RSS peak / model-state bytes,731 MB / 28.1 MB,
traps,optimizer built BEFORE fully_shard: Adam state per rank,0 B  (0 tensors have state),
traps,optimizer built AFTER fully_shard: Adam state per rank,14.0 MB  (69 tensors have state),
traps,optimizer early: did the weights move? sum before -> after,1408.137453 -> 1408.137453,"no exception, no warning, and no training"
traps,optimizer late: sum before -> after,1408.137453 -> 1379.698467,
traps,"final loss, optimizer early / late",7.8543 / 7.8308,
traps,model.state_dict() entry type,DTensor,
traps,  its .shape / its local shape,"(768, 256) / (192, 256)",
traps,  bytes actually on this rank,7.0 MB,torch.save() on this gives you a quarter of a model in a DTensor wrapper
traps,"get_model_state_dict(full_state_dict=True, cpu_offload=True)","rank 0: Tensor, shape (768, 256), 28.1 MB",
traps,  same call on rank 1: keys returned,0 (rank 0 got 69),with cpu_offload the full model is gathered onto rank 0 only
