key,value
A_cpu_dram_gbs,27.6
A_cpu_best_threads,6
A_cpu_1_to_best,1.35
A_cpu_ht_penalty,1.12
A_pcie_h2d_pageable_gbs,10.5
A_pcie_h2d_pinned_gbs,12.6
A_gpu_dram_gbs,216.9
A_gpu_over_pcie,17.2
A_cpu_over_pcie,2.19
B_resident,216.8
B_streamed,12.5
B_streamed_serial,11.7
B_cpu,26.4
B_resident_over_streamed,17.3
B_cpu_over_streamed,2.11
B_overlap_gain,1.07
B_working_set_gb,2.0
C_vram_total_gb,7.92
C_vram_free_gb,7.65
C_oom_error,OutOfMemoryError
C_oom_msg,CUDA out of memory. Tried to allocate 32.00 MiB. GPU 0 has a total capacity of 7.92 GiB of which 24.50 MiB is free. Process 2947 has 107.12 MiB memory in use. I
C_max_resident_gb,7.66
C_layers_held,245
C_usable_frac,0.967
D_small_quiet_gbs,217.9
D_small_busy_gbs,215.1
D_small_interference,1.01
D_gpu_quiet_dev_gbs,220.9
D_gpu_busy_dev_gbs,219.3
D_gpu_quiet_wall_gbs,220.6
D_gpu_busy_wall_gbs,217.3
D_device_interference,1.007
D_wall_interference,1.02
E_apple_wired_limit_note,macOS caps the GPU's share of unified memory (iogpu.wired_limit_mb); the default leaves roughly 75% of RAM available to the GPU
E_4090_bw_over_m4max,1.85
E_m4max_cap_over_4090,4.0
runtime_s,35.6

path,ms,GB/s
"GPU, weights resident in VRAM",9.91,216.8
"GPU, weights streamed over PCIe (overlapped)",171.52,12.5
"GPU, weights streamed over PCIe (serial)",184.09,11.7
"CPU, weights in RAM (no accelerator)",81.46,26.4

model_gb,resident_tok_s,streamed_tok_s,cpu_tok_s
0.5,433.6,25.0,52.8
1,216.8,12.5,26.4
2,108.4,6.25,13.2
4,54.2,3.12,6.6
6,36.13,2.08,4.4
7,30.97,1.79,3.77
8,,1.56,3.3
10,,1.25,2.64
16,,0.78,1.65
32,,0.39,0.82
70,,0.18,0.38
140,,0.09,0.19

cpu_threads,GB/s
1,20.4
2,25.1
4,26.8
6,27.6
12,24.7

pool,kind,cap_gb,bw_gbs,model,fmt,need_gb,fits,tok_s
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 8B,fp16,16.0,False,13.6
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 8B,int4,4.5,True,48.6
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 70B,fp16,140.0,False,1.6
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 70B,int4,39.2,False,5.6
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 405B,fp16,810.0,False,0.3
this GTX 1070 Ti (VRAM),discrete,8,256.3,Llama 405B,int4,226.8,False,1.0
this machine (system RAM),cpu,31,24.0,Llama 8B,fp16,16.0,True,1.3
this machine (system RAM),cpu,31,24.0,Llama 8B,int4,4.5,True,4.6
this machine (system RAM),cpu,31,24.0,Llama 70B,fp16,140.0,False,0.1
this machine (system RAM),cpu,31,24.0,Llama 70B,int4,39.2,False,0.5
this machine (system RAM),cpu,31,24.0,Llama 405B,fp16,810.0,False,0.0
this machine (system RAM),cpu,31,24.0,Llama 405B,int4,226.8,False,0.1
RTX 4090,discrete,24,1008,Llama 8B,fp16,16.0,True,53.5
RTX 4090,discrete,24,1008,Llama 8B,int4,4.5,True,191.2
RTX 4090,discrete,24,1008,Llama 70B,fp16,140.0,False,6.1
RTX 4090,discrete,24,1008,Llama 70B,int4,39.2,False,21.9
RTX 4090,discrete,24,1008,Llama 405B,fp16,810.0,False,1.1
RTX 4090,discrete,24,1008,Llama 405B,int4,226.8,False,3.8
RTX 5090,discrete,32,1792,Llama 8B,fp16,16.0,True,95.2
RTX 5090,discrete,32,1792,Llama 8B,int4,4.5,True,340.0
RTX 5090,discrete,32,1792,Llama 70B,fp16,140.0,False,10.9
RTX 5090,discrete,32,1792,Llama 70B,int4,39.2,False,38.9
RTX 5090,discrete,32,1792,Llama 405B,fp16,810.0,False,1.9
RTX 5090,discrete,32,1792,Llama 405B,int4,226.8,False,6.7
Apple M4 Pro (48 GB),unified,36,273,Llama 8B,fp16,16.0,True,14.5
Apple M4 Pro (48 GB),unified,36,273,Llama 8B,int4,4.5,True,51.8
